publisher,topic_label,mean_sentiment,median_sentiment,std_sentiment,n_articles
Daily Mail,22_facebook_twitter_zuckerberg_post,-0.5267,-0.5267,,1
Le Monde,32_cannabis_art_terry_talbot,-0.52125,-0.52125,0.45106341571889863,2
Daily Mail,32_cannabis_art_terry_talbot,-0.5187,-0.5187,,1
Frankfurter Allgemeine Zeitung,5_halloween_pumpkin_trick_moon,-0.5141,-0.5141,,1
es,16_voters_trump_democrats_vote,-0.4767,-0.4767,,1
Business Insider,22_facebook_twitter_zuckerberg_post,-0.4678,-0.4678,,1
Spiegel Online,1_biden_trump_president_joe,-0.46495,-0.46495,0.7452198366925025,2
es,41_oregon_lópez_criminal_drug,-0.4588,-0.4588,,1
Spiegel Online,29_patienten_dass_prozent_intensivstationen,-0.45459999999999995,-0.9235,0.8359999820574161,3
The Washington Times,41_oregon_lópez_criminal_drug,-0.44445,-0.44445,0.773786950652439,2
Euronews (EN),17_cases_vitamin_covid_covid 19,-0.43900000000000006,-0.7227,0.6210180271135453,3
The BBC,25_cup_england_united_world cup,-0.4215,-0.4215,,1
The Telegraph,3_lawsuit_sentencia_er_mossos,-0.4116,-0.4116,,1
Euronews (FR),5_halloween_pumpkin_trick_moon,-0.3987,-0.3987,,1
Daily Mail,17_cases_vitamin_covid_covid 19,-0.3906,-0.3906,,1
Le Monde,36_men_mujeres_paz_women,-0.3612,-0.3612,,1
Le Monde,20_land_africa_south_opposition,-0.3612,-0.3612,,1
es,14_pakistan_macron_khan_islam,-0.34,-0.34,,1
Euronews (EN),8_nizza_nice_frankreich_notre,-0.3393333333333333,-0.9861,1.1234385445289534,3
Fox News,2_students_university_school_student,-0.32855,-0.32855,0.014637110370561512,2
Le Monde,14_pakistan_macron_khan_islam,-0.3182,-0.3182,,1
CNBC,22_facebook_twitter_zuckerberg_post,-0.3109,-0.6359,0.8229286967897036,3
es,44_pubs_pub_león_castilla león,-0.296,-0.296,,1
Euronews (FR),13_corbyn_labour_party_anti,-0.296,-0.296,,1
es,6_prozent_pour_ne_sont,-0.28245,-0.53715,0.7163972943369714,4
Fox News,37_tier_spiegel_gerät_restrictions,-0.2509,-0.2509,,1
es,5_halloween_pumpkin_trick_moon,-0.24695,-0.24695,0.3492400392280358,2
Euronews (FR),16_voters_trump_democrats_vote,-0.2244,-0.2244,,1
Fox News,-1_er_dass_000_year,-0.2166375,-0.54035,0.7357447110504497,32
Le Monde,6_prozent_pour_ne_sont,-0.21024999999999996,-0.21835,0.4394732426439635,6
Euronews (FR),33_samos_izmir_turquie_tsunami,-0.20095,-0.20095,0.28418621535887345,2
The Telegraph,29_patienten_dass_prozent_intensivstationen,-0.1913,-0.1913,,1
The Sun,1_biden_trump_president_joe,-0.19056666666666666,-0.5705,1.045903362330064,3
Euronews (FR),21_confinement_lockdown_pour_france,-0.17727999999999997,-0.0679,0.34670032737221346,5
The BBC,17_cases_vitamin_covid_covid 19,-0.17379999999999998,-0.17379999999999998,0.1728168973219922,2
CNBC,2_students_university_school_student,-0.16519999999999999,-0.16519999999999999,0.9161275457052909,2
The Washington Times,9_mr_shulkin_kudlow_trump,-0.16454615384615384,-0.6486,0.7654125245201489,13
The Sun,21_confinement_lockdown_pour_france,-0.1531,-0.1531,,1
Le Monde,7_plants_garden_binoculars_flowers,-0.15293333333333334,-0.4588,0.5752201085961212,3
Daily Mail,1_biden_trump_president_joe,-0.14914999999999998,-0.14914999999999998,0.6176577733664492,2
Euronews (FR),14_pakistan_macron_khan_islam,-0.14279999999999998,-0.17039999999999997,0.6279637356833063,4
Le Monde,10_je_kultur_art_ich,-0.13845,0.0,0.2769,4
es,-1_er_dass_000_year,-0.137375,-0.07875,0.4755775891832303,16
Le Monde,-1_er_dass_000_year,-0.12490588235294119,-0.2003,0.5667182384909059,17
es,34_asylum_crossings_usa_asylum seekers,-0.12020000000000002,-0.11530000000000004,0.6373485022602103,4
The BBC,44_pubs_pub_león_castilla león,-0.1154,-0.1154,,1
The Washington Times,-1_er_dass_000_year,-0.106828,-0.2152,0.7857258403964239,25
Fox News,9_mr_shulkin_kudlow_trump,-0.10275999999999999,-0.1779,0.7204498129640954,5
Euronews (FR),6_prozent_pour_ne_sont,-0.08587499999999999,-0.24225,0.5769121503025108,4
The BBC,13_corbyn_labour_party_anti,-0.07194999999999996,-0.07194999999999996,1.0921264235426227,2
The Telegraph,31_credit_gen_retirement_muscle,-0.06400000000000003,-0.14685000000000004,0.9697927304326426,4
The Telegraph,2_students_university_school_student,-0.021356521739130434,-0.2813,0.8112629474109472,23
